"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Вклады","1 - Расчет процентов по вкладам","0","0","1","0","0"
"","Вклады","2 - Расчет процентов по вкладам","0","0","1","0","0"
